fecha,loteria,numero
2026-09-13,Astro Luna,0982
2026-09-13,Cafeterito Noche,5156
2026-09-13,Chontico Millonario,6059
2026-09-13,Chontico Noche,9533
2026-09-13,Dorado Noche,9347
2026-09-13,El Motilon 1,4692
2026-09-13,El Motilon 2,2069
2026-09-13,El Pijao de Oro,0946
2026-09-13,El saman de la suerte,3811
2026-09-13,La Antioqueñita 1,4745
2026-09-13,La Antioqueñita 2,3279
2026-09-13,La Caribeña 1,6970
2026-09-13,La Caribeña 2,0860
2026-09-13,La Culona Día,1797
2026-09-13,La Culona Noche,6410
2026-09-13,La Fantastica 2,0342
2026-09-13,Paisita 1,6516
2026-09-13,Paisita 2,0907
2026-09-13,Pick 3 Día,0538
2026-09-13,Pick 3 Noche,0221
2026-09-13,Pick 4 Día,4580
2026-09-13,Pick 4 Noche,8914
2026-09-13,Sinuano Día,0071
2026-09-13,Sinuano Noche,2433
