fecha,loteria,numero
2026-08-30,Astro Luna,1823
2026-08-30,Cafeterito Noche,5553
2026-08-30,Chontico Millonario,5538
2026-08-30,Chontico Noche,2548
2026-08-30,Dorado Noche,2279
2026-08-30,El Motilon 1,7768
2026-08-30,El Motilon 2,7796
2026-08-30,El Pijao de Oro,7061
2026-08-30,El saman de la suerte,7801
2026-08-30,La Antioqueñita 1,4795
2026-08-30,La Antioqueñita 2,2020
2026-08-30,La Caribeña 1,5071
2026-08-30,La Caribeña 2,7617
2026-08-30,La Culona Día,0403
2026-08-30,La Culona Noche,7248
2026-08-30,La Fantastica 2,4899
2026-08-30,Paisita 1,3596
2026-08-30,Paisita 2,4608
2026-08-30,Pick 3 Día,0644
2026-08-30,Pick 3 Noche,0323
2026-08-30,Pick 4 Día,4863
2026-08-30,Pick 4 Noche,0406
2026-08-30,Sinuano Día,2019
2026-08-30,Sinuano Noche,2975
