fecha,loteria,numero
2026-08-26,Astro Luna,9087
2026-08-26,Astro Sol,7372
2026-08-26,Cafeterito Día,3442
2026-08-26,Cafeterito Noche,4927
2026-08-26,Chontico Millonario,6253
2026-08-26,Chontico Noche,7964
2026-08-26,Dorado Mañana,3820
2026-08-26,Dorado Tarde,4799
2026-08-26,El Motilon 1,4775
2026-08-26,El Motilon 2,2865
2026-08-26,El Pijao de Oro,9667
2026-08-26,El saman de la suerte,9899
2026-08-26,La Antioqueñita 1,5325
2026-08-26,La Antioqueñita 2,5242
2026-08-26,La Caribeña 1,5995
2026-08-26,La Caribeña 2,3007
2026-08-26,La Culona Día,8989
2026-08-26,La Culona Noche,1319
2026-08-26,La Fantastica 1,0738
2026-08-26,La Fantastica 2,0363
2026-08-26,Manizales,4128
2026-08-26,Meta,8134
2026-08-26,Paisita 1,6191
2026-08-26,Paisita 2,9092
2026-08-26,Pick 3 Día,0539
2026-08-26,Pick 3 Noche,0329
2026-08-26,Pick 4 Día,8375
2026-08-26,Pick 4 Noche,2552
2026-08-26,Sinuano Día,3008
2026-08-26,Sinuano Noche,8490
2026-08-26,Valle,9934
