fecha,loteria,numero
2026-08-11,Astro Luna,9939
2026-08-11,Astro Sol,4279
2026-08-11,Cafeterito Día,5829
2026-08-11,Cafeterito Noche,4879
2026-08-11,Chontico Millonario,8655
2026-08-11,Chontico Noche,9193
2026-08-11,Dorado Mañana,3099
2026-08-11,Dorado Tarde,6149
2026-08-11,El Motilon 1,6528
2026-08-11,El Motilon 2,3669
2026-08-11,El Pijao de Oro,0556
2026-08-11,El saman de la suerte,5136
2026-08-11,La Antioqueñita 1,3193
2026-08-11,La Antioqueñita 2,4286
2026-08-11,La Caribeña 1,5511
2026-08-11,La Caribeña 2,7040
2026-08-11,La Culona Día,2393
2026-08-11,La Culona Noche,2217
2026-08-11,La Fantastica 1,3754
2026-08-11,La Fantastica 2,0601
2026-08-11,Paisita 1,1017
2026-08-11,Paisita 2,1470
2026-08-11,Pick 3 Día,0275
2026-08-11,Pick 3 Noche,0539
2026-08-11,Pick 4 Día,7505
2026-08-11,Pick 4 Noche,5591
2026-08-11,Sinuano Día,7371
2026-08-11,Sinuano Noche,7686
