fecha,loteria,numero
2026-09-22,Astro Luna,6435
2026-09-22,Astro Sol,5172
2026-09-22,Cafeterito Día,3712
2026-09-22,Cafeterito Noche,6859
2026-09-22,Chontico Millonario,5462
2026-09-22,Chontico Noche,2560
2026-09-22,Cruz Roja,3981
2026-09-22,Dorado Mañana,1688
2026-09-22,Dorado Noche,1105
2026-09-22,Dorado Tarde,3603
2026-09-22,El Motilon 1,2994
2026-09-22,El Motilon 2,2263
2026-09-22,El Pijao de Oro,9899
2026-09-22,El saman de la suerte,3652
2026-09-22,Huila,1547
2026-09-22,La Antioqueñita 1,0566
2026-09-22,La Antioqueñita 2,2815
2026-09-22,La Caribeña 1,9297
2026-09-22,La Caribeña 2,3260
2026-09-22,La Culona Día,6720
2026-09-22,La Culona Noche,1872
2026-09-22,La Fantastica 1,7846
2026-09-22,La Fantastica 2,9560
2026-09-22,Paisita 1,5929
2026-09-22,Paisita 2,7329
2026-09-22,Pick 3 Noche,0702
2026-09-22,Pick 4 Noche,2682
2026-09-22,Sinuano Día,6664
2026-09-22,Sinuano Noche,8332
