2020-01-08,Bogotá,9257
2020-01-08,Boyacá,7297
2020-01-08,Risaralda,5201
2020-01-08,Meta,2297
2020-01-08,Cundinamarca,7207
2020-01-08,Manizales,2906
2020-01-08,Santander,9744
2020-01-08,Cauca,4520
2020-01-08,Quindío,4662
2020-01-08,Valle,0465
2020-01-08,Cruz Roja,3069
2020-01-08,Huila,0505
2020-01-08,Tolima,1239
2020-01-09,Valle,1998
2020-01-10,Bogotá,8941
2020-01-10,Manizales,2637
2020-01-10,Meta,0564
2020-01-10,Quindío,9011
2020-01-13,Santander,1331
2020-01-13,Boyacá,3960
2020-01-13,Risaralda,2055
2020-01-13,Cauca,4211
2020-01-14,Cundinamarca,6368
2020-01-14,Tolima,8233
2020-01-15,Cruz Roja,5872
2020-01-15,Huila,6315
2020-01-16,Manizales,4806
2020-01-16,Meta,8367
2020-01-16,Valle,8484
2020-01-20,Boyacá,7071
2020-01-20,Santander,6047
2020-01-20,Cauca,7823
2020-01-20,Quindío,3441
2020-01-20,Bogotá,1397
2020-01-21,Tolima,8851
2020-01-21,Cundinamarca,6661
2020-01-22,Risaralda,8160
2020-01-22,Huila,4559
2020-01-22,Cruz Roja,2977
2020-01-23,Meta,9406
2020-01-23,Manizales,1483
2020-01-23,Valle,4432
2020-01-24,Quindío,0218
2020-01-24,Bogotá,4949
2020-01-27,Boyacá,8081
2020-01-27,Cauca,9738
2020-01-27,Santander,2850
2020-01-27,Risaralda,4014
2020-01-28,Cundinamarca,0254
2020-01-28,Tolima,2148
2020-01-29,Huila,6014
2020-01-29,Cruz Roja,2773
2020-01-30,Manizales,6780
2020-01-30,Meta,4885
2020-01-30,Valle,1614
2020-01-31,Bogotá,5501
2020-01-31,Quindío,6040
2020-02-03,Cauca,2013
2020-02-03,Extra de Colombia,2271
2020-02-03,Santander,6913
2020-02-03,Boyacá,2505
2020-02-03,Risaralda,2084
2020-02-04,Tolima,6135
2020-02-04,Cundinamarca,1820
2020-02-05,Cruz Roja,1068
2020-02-05,Huila,1397
2020-02-06,Meta,6911
2020-02-06,Manizales,8805
2020-02-06,Valle,8713
2020-02-07,Bogotá,2655
2020-02-07,Quindío,2588
2020-02-10,Boyacá,0585
2020-02-10,Cauca,8263
2020-02-10,Santander,9686
2020-02-10,Risaralda,4065
2020-02-11,Cundinamarca,1422
2020-02-12,Huila,8689
2020-02-12,Tolima,4467
2020-02-12,Cruz Roja,2614
2020-02-13,Valle,6468
2020-02-13,Meta,1470
2020-02-13,Manizales,1486
2020-02-14,Quindío,2395
2020-02-14,Bogotá,9159
2020-02-17,Santander,7971
2020-02-17,Cauca,6796
2020-02-17,Risaralda,6173
2020-02-17,Boyacá,2303
2020-02-18,Cundinamarca,6405
2020-02-18,Tolima,1422
2020-02-19,Cruz Roja,9854
2020-02-19,Huila,9310
2020-02-20,Manizales,5820
2020-02-20,Meta,9162
2020-02-20,Valle,1532
2020-02-21,Quindío,3273
2020-02-24,Boyacá,6832
2020-02-26,Bogotá,8573
2020-02-27,Huila,9862
2020-02-28,Quindío,2667
2020-02-29,Valle,8676
2020-03-04,Boyacá,3606
2020-03-11,Bogotá,6318
2020-03-12,Boyacá,2088
2020-03-12,Quindío,8170
2020-03-13,Bogotá,9060
2020-03-13,Huila,8975
2020-03-17,Santander,1687
2020-03-17,Boyacá,3497
2020-03-18,Risaralda,6441
2020-03-24,Boyacá,0973
2020-03-24,Quindío,5008
2020-03-27,Huila,0934
2020-03-27,Quindío,3275
2020-03-27,Manizales,4264
2020-03-27,Risaralda,7376
2020-03-29,Meta,9429
2020-03-29,Santander,8611
2020-03-29,Bogotá,1484
2020-03-30,Valle,2074
2020-03-30,Cauca,3079
2020-03-30,Cruz Roja,5841
2020-03-30,Cundinamarca,4787
2020-03-31,Cundinamarca,9131
2020-04-01,Tolima,7686
2020-04-03,Valle,8816
2020-04-03,Cruz Roja,2529
2020-04-03,Bogotá,4154
2020-04-15,Huila,9385
2020-04-17,Manizales,0117
2020-05-12,Tolima,5787
2020-05-12,Cundinamarca,4682
2020-05-13,Huila,3447
2020-05-13,Cruz Roja,7612
2020-05-14,Valle,8361
2020-05-14,Meta,7537
2020-05-14,Manizales,6926
2020-05-15,Quindío,5704
2020-05-16,Risaralda,2532
2020-05-16,Santander,5005
2020-05-16,Bogotá,4978
2020-05-18,Boyacá,8117
2020-05-19,Cundinamarca,1569
2020-05-19,Cauca,9659
2020-05-19,Tolima,8224
2020-05-20,Huila,8719
2020-05-20,Cruz Roja,8816
2020-05-21,Manizales,1021
2020-05-21,Meta,3395
2020-05-22,Valle,9708
